repo_id,initial_date,end_date
19,5/11/2009,7/15/2011
31,6/30/2008,8/27/2014
38,11/28/2007,1/22/2015
50,10/30/2007,6/11/2014
198,10/1/2007,11/19/2014
105,10/13/2008,1/22/2015
114,2/2/2011,6/8/2012
116,5/20/2008,1/15/2015
120,9/20/2002,1/28/2015
125,9/12/2005,10/5/2014
128,9/17/2012,1/21/2014
136,2/8/2006,1/20/2014
147,10/15/2010,9/19/2014
163,2/9/2007,9/23/2014
167,1/14/2009,1/15/2014
183,8/14/2009,8/20/2014
186,9/25/2010,2/24/2014
189,7/10/2002,9/18/2014
191,8/15/2007,12/10/2014
192,2/21/2011,1/29/2013
