"upeople_id","no_of_bug_owned","avg_resolution","X264scmChanges","X214scrChanges","X1mslChanges","number_of_domain","country","X264linesadded","X264linesremoved","X214ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
415,4,8.5,13,28,0,3,6,138,92,24,4,14,14,14,11,0.043956043956044,0.176470588235294,0.0164519515440929
527,41,31.9024,762,191,26,4,10,57314,40159,186,1,22,22,22,9,0.025974025974026,0.173076923076923,1
543,2,0,21,171,0,4,7,1413,8609,157,10,6,6,6,0,0.133333333333333,0.118421052631579,0.652485266590443
1534,2,0,2,2,0,2,9,7,4,2,7,2,2,2,0,0,0.157894736842105,0.000282185784727387
1554,1,0,1,0,0,2,8,101,0,0,6,4,4,4,0,0.333333333333333,0.152542372881356,0.00112950330695869
2262,1,2,1,12,0,2,9,108,3,12,9,2,2,2,0,0,0.0927835051546392,0.00253984016479352
2340,0,0,2,5,5,6,8,258,82,5,5,6,6,6,5,0.266666666666667,0.166666666666667,0.00254475972785776
378235,32,31.1875,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0.1,2.31091338825637e-06
378243,1,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0.1,2.31091338825637e-06
447392,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0.1,2.31091338825637e-06
