"upeople_id","120scmChanges","totalChangesMadeInSCM","52scrChanges","1mslChanges"
"1",527,2,2,4,3
"2",378235,38,38,170,1
"3",378242,2834,2834,1027,2
"4",378243,27,27,50,0
"5",1549,0,0,758,0
"6",415,78,78,2,0
"7",2240,0,0,930,0
"8",818,0,0,26,0
"9",3295,484,484,71,0
"10",378255,4,4,29,0
"11",535,7,7,5,0
"12",1533,4,4,2,0
"13",1561,1,1,1,0
"14",446657,1,1,3,0
"15",1552,1,1,0,0
"16",1553,2,2,0,0
"17",3217,1,1,0,0
"18",1554,3,3,0,0
"19",199,0,0,0,0
"20",683,0,0,0,0
"21",1558,0,0,0,0
"22",2635,0,0,0,0
"23",446678,0,0,0,0
"24",3247,1,1,0,0
"25",1528,0,0,0,0
"26",531,0,0,0,0
"27",543,0,0,0,0
"28",1555,0,0,0,0
"29",363833,0,0,0,0
"30",1530,0,0,0,0
