"upeople_id","169scmChanges","60scrChanges","1mslChanges","2mslChanges","3mslChanges","4mslChanges","number_of_domain","country","169linesadded","169linesremoved","60ReviewGotMerged"
15,0,0,0,0,0,0,6,6,0,0,0
198,0,0,0,0,0,0,5,7,0,0,0
247,0,0,0,0,0,0,5,9,0,0,0
261,0,0,0,8,0,0,4,7,0,0,0
282,0,0,0,0,2,0,6,9,0,0,0
415,4,9,0,0,0,0,3,6,4,5,2
517,0,0,0,0,0,0,4,10,0,0,0
526,1,1,0,0,0,5,6,9,2,15,1
527,1198,193,28,576,244,48,4,10,33275,30149,185
535,0,0,0,51,0,0,5,9,0,0,0
543,35,197,5,86,10,13,4,7,657,406,185
659,0,0,0,0,0,0,3,9,0,0,0
677,0,0,0,2,0,0,5,7,0,0,0
678,0,0,0,9,0,1,2,9,0,0,0
818,0,0,0,0,0,0,3,6,0,0,0
1033,0,0,0,0,0,0,2,8,0,0,0
1528,5,26,0,25,9,0,2,6,229,136,20
1533,7,17,0,3,0,0,1,6,54,28,12
1539,0,0,0,10,0,41,2,7,0,0,0
1549,0,0,0,1,0,0,4,7,0,0,0
1551,0,0,0,5,31,0,1,8,0,0,0
1558,0,0,0,0,1,0,1,9,0,0,0
2134,0,0,0,0,0,0,2,8,0,0,0
2151,0,0,0,8,4,0,3,8,0,0,0
2235,0,0,0,0,0,0,4,9,0,0,0
2282,0,0,0,0,0,0,3,7,0,0,0
2340,0,0,0,1,0,0,6,8,0,0,0
2759,0,0,0,0,0,0,2,8,0,0,0
3080,0,0,0,11,0,0,7,6,0,0,0
3217,0,0,0,0,0,0,1,9,0,0,0
3295,0,0,0,1,0,0,4,10,0,0,0
3402,0,0,0,2,1,0,3,8,0,0,0
309805,0,0,0,0,0,0,2,0,0,0,0
378235,0,0,0,0,0,0,2,0,0,0,0
378242,0,0,0,0,0,0,2,0,0,0,0
378243,0,0,0,0,0,0,13,0,0,0,0
378244,0,0,0,0,4,0,3,0,0,0,0
378254,0,0,0,0,11,0,3,0,0,0,0
378281,0,0,0,42,27,0,3,0,0,0,0
378297,0,0,0,4,1,0,1,0,0,0,0
378298,0,0,0,0,0,0,2,0,0,0,0
378299,0,0,0,0,0,0,2,0,0,0,0
378300,0,0,0,0,0,0,1,0,0,0,0
378304,0,0,0,0,0,0,1,0,0,0,0
378317,0,0,0,0,0,0,2,0,0,0,0
378318,0,0,0,0,6,0,1,0,0,0,0
378328,0,0,0,0,0,0,2,0,0,0,0
378330,0,0,0,0,0,0,2,0,0,0,0
378357,0,0,0,0,0,0,1,0,0,0,0
378412,0,0,0,0,0,0,3,0,0,0,0
379185,0,0,0,0,0,0,2,0,0,0,0
379489,0,0,0,0,0,0,2,0,0,0,0
379614,0,0,0,0,0,0,1,0,0,0,0
379790,0,0,0,9,7,0,1,0,0,0,0
381786,0,0,0,0,0,0,2,0,0,0,0
381797,0,0,0,0,0,0,1,0,0,0,0
381808,0,0,0,0,0,0,2,0,0,0,0
382290,0,0,0,0,0,0,1,0,0,0,0
382303,0,0,0,0,0,0,4,0,0,0,0
385869,0,0,0,0,0,0,1,0,0,0,0
386369,0,0,0,0,0,0,1,0,0,0,0
387826,0,0,0,0,0,0,1,0,0,0,0
387827,0,0,0,0,0,0,1,0,0,0,0
387832,0,0,0,0,0,0,2,0,0,0,0
387833,0,0,0,0,0,0,1,0,0,0,0
387871,0,0,0,0,0,0,1,0,0,0,0
387891,0,0,0,1,0,0,1,0,0,0,0
387900,0,0,0,0,0,0,1,0,0,0,0
387943,0,0,0,0,0,0,2,0,0,0,0
387989,0,0,0,1,0,0,1,0,0,0,0
401016,0,0,0,0,0,0,2,0,0,0,0
405861,0,0,0,4,0,0,2,0,0,0,0
406837,0,0,0,7,0,0,1,0,0,0,0
407624,0,0,0,0,0,0,1,0,0,0,0
411962,0,0,0,2,0,0,1,0,0,0,0
414745,0,0,0,0,0,0,1,0,0,0,0
414947,0,0,0,0,5,0,2,0,0,0,0
415023,0,0,0,0,0,0,1,0,0,0,0
415121,0,0,0,0,0,0,1,0,0,0,0
415355,0,0,0,5,0,0,1,0,0,0,0
446833,0,0,0,0,0,0,0,0,0,0,0
447267,0,0,0,0,0,0,0,0,0,0,0
447311,0,0,0,0,0,0,0,0,0,0,0
447751,0,0,0,0,0,0,0,0,0,0,0
