Repo id,number of issue which has resolution time
2,711
14,454
15,61
16,267
17,313
18,2838
19,81
20,5344
21,1
22,3932
23,12501
24,921
25,71
26,256
27,44
28,505
29,517
30,1918
31,611
32,4486
33,22
34,1298
35,923
36,1120
37,40
38,256
39,6765
40,1682
41,688
42,2134
43,1041
44,231
45,45840
46,105
47,8881
48,532
49,16
50,156
51,1718
52,8
53,3
54,2308
55,96
56,4164
57,597
58,244
59,9
60,234
61,184
62,2867
63,2474
64,2393
67,48
68,198
69,48
70,4
71,1791
72,6
73,296
74,498
75,563
77,103
78,1394
79,842
80,31
81,353
82,47
83,114
84,21151
85,166
86,182
87,695
88,92
89,1020
90,1
91,2919
92,106
93,1019
94,75
95,318
96,24703
98,20
99,191
100,177
101,127
102,753
103,2930
104,531
105,180
106,17278
107,2067
108,1870
109,11
110,1
111,81
112,79
113,388
114,61
116,778
117,325
118,319
119,203
120,2214
121,106
122,2010
123,7705
124,69
125,1038
126,439
127,52
128,76
129,478
130,197
131,14
133,84495
134,2609
135,789
136,2804
137,873
138,260
139,136
140,74
141,17
142,2086
143,102
144,107
145,5145
146,44
147,81
148,518
149,846
150,629
152,228
153,573
154,117
155,4
156,325
157,1441
158,661
159,185
160,26
161,1533
162,391
163,361
164,15
166,10
167,66
168,504
169,316
170,435
171,3105
172,766
173,377
174,431
175,53
176,64
178,265
179,373
180,2
181,10
182,124
183,252
184,19
185,176
186,50
187,7
188,17
189,1292
190,13655
191,4087
192,2417
194,383
195,34
196,130
197,20
198,174
199,1864
200,27
201,28
202,135
203,76
204,45
205,8
206,34
207,4599
208,46
209,31
210,258
211,4
212,4
213,1
214,1
215,16
218,1
219,3
221,4
223,5
