Repo id,Number of issue which has resolution time
2,524
3,5602
4,45
5,1024
6,190
7,2060
8,365
9,5
10,2778
11,1222
12,26
13,214
14,298
15,15
16,105
17,124
18,712
19,322
20,154
21,312
22,68
23,209
24,125
25,1398
26,9
27,1
28,1121
29,17
30,467
31,158
32,105
33,43
34,151
35,178
36,22
37,92
38,24
39,58
40,165
41,459
42,569
43,86
44,71
45,528
46,1
47,59
48,10
49,41
50,37
51,14
52,164
53,10
54,2133
55,192
56,12
57,32
58,1
59,123
60,2
61,4
62,2
64,2
65,4
67,29
68,112
69,1
70,9
71,5
72,16
74,4
76,46
77,4
78,8
79,4
81,2
82,114
83,6
84,2
