"no_of_review_by_the_author_got_merged","AVG_Merge_Time","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
38,0,19,44,0,3,7,471,313,38,7,8,8,8,0,0.428571428571429,0.0324763193504736,0.0319475738292499,197
2,0,0,5,3,5,8,0,0,2,23,6,6,6,100.666666666667,0.4,0.0377358490566038,0.00272958378180111,276
181,0,89,235,65,3,6,7449,1391,183,1,16,16,16,29.3333333333333,0.383333333333333,0.0349854227405248,0.114360390204464,415
922,0,244,1117,88,3,9,10610,4549,923,24,34,34,34,58.6666666666667,0.196078431372549,0.0364188163884674,0.751367055155174,444
38,0,12,88,69,6,9,2226,127,57,3,10,10,10,3,0.4,0.0289156626506024,0.0910523543692235,526
99,0,25,196,0,5,6,3244,1406,99,12,6,6,6,0,0.4,0.0134907251264755,0.153542198835305,550
781,0,732,1860,0,3,6,81201,24403,1710,2,24,24,24,16,0.340579710144928,0.0361990950226244,0.3503789629275,818
1513,0,493,1744,105,1,8,31308,20251,1515,8,34,34,34,98.6666666666667,0.199643493761141,0.0384615384615385,0.722959799439628,832
1015,0,267,1257,338,1,9,13798,7982,1018,11,32,32,32,39,0.217741935483871,0.0350877192982456,1,838
149,0,18,189,115,5,8,2122,486,149,21,16,16,16,38.3333333333333,0.433333333333333,0.0356083086053412,0.626228663426473,869
0,0,37,96,6,2,6,2785,563,60,5,0,0,0,0,0,0.04,0.000286671103021722,1527
33,0,6,59,57,2,8,287,91,33,4,8,8,8,0,0.428571428571429,0.0331491712707182,0.0895444516024429,1554
565,0,253,635,74,6,10,16441,7026,565,13,22,22,22,0,0.354978354978355,0.020979020979021,0.321080797062016,2241
992,0,432,1131,45,1,7,69540,27563,992,14,22,22,22,3,0.311688311688312,0.0309677419354839,0.437285043239425,2242
1431,0,273,1597,120,2,6,31246,13376,1431,16,30,30,30,20,0.248275862068966,0.0330123796423659,0.73307721436484,2244
122,0,30,137,94,2,7,667,634,128,6,22,22,22,112.333333333333,0.354978354978355,0.0382775119617225,0.0769342102160945,2249
3,0,1,3,14,4,9,104,104,3,15,4,4,4,8.66666666666667,0.333333333333333,0.0319573901464714,0.00238129036624624,2253
65,0,36,73,13,1,7,2067,565,65,18,14,14,14,38,0.461538461538462,0.0347322720694645,0.0386430844062796,2256
23,0,5,36,0,2,7,884,152,23,19,8,8,8,0,0.428571428571429,0.0336605890603086,0.0398076141254034,2259
2,0,1,2,0,2,9,189,0,2,20,2,2,2,0,0,0.0270574971815107,0.00239970042152013,2262
37,0,13,58,24,2,8,1676,99,37,17,12,12,12,80,0.454545454545455,0.0383386581469649,0.0395400851112671,2263
27,0,10,28,0,1,7,1390,259,27,22,4,4,4,0,0.333333333333333,0.0271493212669683,0.03219698033008,2269
79,0,10,80,5,4,9,3458,304,79,25,2,2,2,0,0,0.00345871162991786,0.0965450398569192,2270
0,0,0,0,0,13,0,0,0,0,10,0,0,0,0,0,0.04,0.000286671103021722,378243
0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0.04,0.000286671103021722,432589
